Nom abrégé;Tél. int.;C. P.;Ville;Téléphone;Fax;Vte s/souche;Date mise en vente;Date fermeture;Fam.;Raison sociale;Région                        ;Email;Représentant
CHANTAL GUILLON;;30800;SAINT GILLES;04.66.87.30.30;04.66.87.17.46;Non;;;;MADAME GUILLON CHANTAL;;;
CHANTEGRILLET;;84220;ROUSSILLON;04.90.05.74.83;;Non;;;;SCEA DMNE DE CHANTEGRILLET;;;
CHANTEMERLE;;30130;PONT SAINT ESPRIT;04.66.39.29.69;04.66.39.29.69;Non;;;;EARL CHANTEMERLE;;;
CHAPELLE ST JOSEPH;;84190;VACQUEYRAS;04.90.65.84.60;;Non;;;;SCEA DMNE CHAPELLE ST JOSEPH;;;
CHAPITRE;;07700;ST MARCEL D'ARDECHE;04.75.04.67.36;;Non;;;;SCEA DOMAINE DU CHAPITRE;;frederic.dorthe@orange.fr;
CHARENTES;;16200;JULIENNE;06.18.07.45.45;;Non;;;;COOP DES VIGNERONS BIOS DES CHARENTES;;;
CHARENTES ALLIANCE;;16100;COGNAC;05.46.06.49.92;05.46.39.26.75;Non;;;;CHARENTES ALLIANCE;;pronteau@charentes-alliance.fr;
CHARMETTES;;34340;MARSEILLAN;04.67.77.66.16;;Non;;;;DOMAINE DES CHARMETTES;;;
CHAROUSSET;;84500;BOLLENE;04.90.30.21.36;04.90.30.23.01;Non;;;;ETS CHAROUSSET;;;
CHARRIN FRERES;;34300;AGDE;04.67.94.28.32;04.67.94.28.32;Non;;;;SCEA CHARRIN FRERES;;sceacharrinmoure@aol.com;
CHASSAGNE;;84110;SEGURET;;;Non;;;;CHASSAGNE;;;
CHASTAN;;84100;ORANGE;04.90.34.49.85;04.90.51.05.20;Non;;;;SCEA CLAUDE CHASTAN;;domainesaintsiffrein@wanadoo.fr;
CHATEAU DE CELEYRAN;;11110;SALLES D AUDE;06.79.92.65.01;;Non;;;;S.C.E.V CHATEAU DE CELEYRAN;;;
CHATEAU DE MATTES;;11130;SIGEAN;04.68.48.22.77;;Non;;;;MME M BROUILLAT ARNOULD;;;
CHATEAU SERAPHIN;;30390;DOMAZAN;;;Non;;;;MONSIEUR LE DIRECTEUR DU;;;
CHAUSSY CHRISTINE;;84100;ORANGE;04.90.34.46.49;04.90.34.46.61;Non;;;;EARL CHAUSSY CHRISTINE ET DANIEL;;masdeboislauzon@wanadoo.fr;
CHAUVIN;;84110;SABLET;04.90.46.93.55;;Non;;;;SCEA CHAUVIN FRERES;;;
CHEFDEBIEN;;11100;NARBONNE;04.68.32.26.61;;Non;;;;MR PAUL DE CHEFDEBIEN;;;
CHENE DOMAINE;;30190;CASTELNAU VALENCE;04.66.83.21.91;04.66.83.21.91;Non;;;;EARL DOMAINE DU CHENE;;sylvain.ozil@free.fr;
CHINIEU J-C;;30200;BAGNOLS SUR CEZE;;;Non;;;;SARL CHINIEU J-C;;;
CHRISTOL (DMNE);;34150;PUECHABON;;;Non;;;;Mr  Alain Christol;;;
CINQ COTEAUX;;34290;ABEILHAN;04.67.39.00.20;04.67.39.25.11;Non;;;;LES CINQ COTEAUX;;;
CLAIRETTES;;30127;BELLEGARDE;06.20.72.50.69;04.66.01.15.09;Non;;;;SARL NOTRE DAME DES CLAIRETTES;;nd.c@orange.fr;
CLAPAREDE;;34460;ROQUEBRUN;06.83.34.30.77;;Non;;;;MR CLAPAREDE MICHEL;;;
CLAUSADE DE ST PRIVAT;;30260;GAILHAN;06.15.33.65.12;04.66.80.10.08;Non;;;;EURL CLAUSADE DE ST PRIVAT;;;
CLAUZEL;;34300;AGDE;04.67.94.88.60;;Non;;;;SCEA DU DOMAINE DE MONTREDON;;;
CLAVEL DOMAINE;;30200;SAINT GERVAIS;;;Non;;;;DOMAINE CLAVEL;;;
CLEFS D'OR;;84230;CHATEAUNEUF DU PAPE;04.90.83.71.74;04.90.83.50.57;Non;;;;SCEA LES CLEFS D'OR;;contact@lesclefsdor.fr;
CLERMONT;;30600;VAUVERT;06.60.89.72.20;;Non;;;;GFA CLERMONT;;Dmne de TAVERNEL  30300 BEAUCAIRE;
CLOCHERS ET TERROIRS;;34230;PUILACHER;04.67.96.72.36;04.67.88.75.54;Non;;;;EURL LES VINS DE CLOCHERS ET TERROIRS;;;
CLOS DE L YEUSE;;34150;MONTPEYROUX;;;Non;;;;SCEA LE CLOS DE L YEUSE;;SIRET 333 997 500 00017 SIREN 333 997500;
CLOS SAINT MICHEL;;84700;SORGUES;;;Non;;;;CLOS SAINT MICHEL;;;
CO.GE.VI   LUNEL;;34401;LUNEL CEDEX 1;04 67 71 00 35;04 67 71 10 26;Non;;;;CO.GE.VI;;;
CO.VI.MO;;11700;AZILLE;04.68.78.10.19;;Non;;;;CO.VI.MO S/E LOUIS DISTRIBUTION;;;
COLLARD;;30300;BEAUCAIRE;04.66.59.46.10;04.66.59.34.21;Non;;;;MONSIEUR FRANCOIS COLLARD;;;
COLOMBIER;;34290;LIEURAN LES BEZIERS;04.67.36.10.63;;Non;;;;GAEC DU PETIT COLOMBIER;;;
COMBEBELLE;;26110;NYONS;04.75.27.11.30;;Non;;;;EARL DU DOMAINE DE COMBEBELLE PIEGON;;eric.sauvan@domaine-combebelle.com;
COMIAC DOMAINE;;30610;SAINT JEAN DE CRIEULON;04.66.93.01.39;;Non;;;;SCEA DOMAINE DE COMIAC;;;
COMPAGNIE DES VINS B.;;34500;BEZIERS;04.67.11.86.86;;Non;;;;ETS COMPAGNIE DES VINS B.;;;
CONDAMINE;;34760;BOUJAN SUR LIBRON;04.67.30.45.91;04.67.30.45.91;Non;;;;SCEA DOMAINE HAUTE CONDAMINE;;;
CONINCK;;33500;LIBOURNE;04.68.46.82.07;05.57.51.59.61;Non;;;;MME DE CONINCK;;;
CONSEILLERE;;34530;MONTAGNAC;04.67.24.07.37;04.67.24.07.37;Non;;;;SCEA DOMAINE DE LA CONSEILLERE;;domainedelaconseillere@gmail.com;
CONSULS;;30129;MANDUEL;06.62.14.06.13;04.66.20.06.13;Non;;;;EARL DOMAINE DES CONSULS;;;
COOP CABRIERES D AIGUES;;84240;CABRIERES D AIGUES;04.90.77.76.29;04.90.77.68.38;Non;;;;SCA LES VIGNERONS REUNIS;;cavecabrieres@wanadoo.fr;
CORCONNE;;30260;CORCONNE;04.66.77.32.75;04.66.77.13.56;Non;;;;SCA LA GRAVETTE;;bruno@lagravette.fr/celinelagravette.fr/;
CORNE LOUP;;30126;TAVEL;04.66.50.34.37;04.66.50.31.36;Non;;;;SCEA DOMAINE CORNE LOUP;;corne-loup@wanadoo.fr;
CORREGES(DMNE);;30300;BEAUCAIRE;04.66.01.68.34;04.66.01.17.26;Non;;;;INDIVISION BARRET ANTOINE ET JEAN LUC;;;
COSTEBELLE CAVE COOP;;26790;TULETTE;;;Non;;;;CAVE COOPERATIVE DE COSTEBELLE;;;
COT G.;;34210;LA CAUNETTE;04.68.91.81.61;;Non;;;;Monsieur COT Ghislain;;;
COTEAUX DU PONT DU GARD;;30210;VERS PONT DU GARD;;;Non;;;;UNION DES CAVES COTEAUX;;;
COUQUIHADO;;84150;VIOLES;04.90.70.93.65;04.90.70.93.65;Non;;;;EARL DOMAINE LA COUQUIHADO;;dom.couquihado@wanadoo.fr;
COURAC;;30330;TRESQUES;06.85.70.01.93;;Non;;;;SCEA FREDERIC ARNAUD;;;
COURANCONNE;;84150;VIOLES;04.90.70.92.16;04.90.70.90.54;Non;;;;EARL CHATEAU LA COURANCONNE;;;
COURNONSEC;;34660;COURNONSEC;04.67.68.67.54;04.67.68.67.57;Non;;;;TVD/COURNONSEC;;;
COURSAN;;11110;COURSAN;04.68.33.50.31;04.68.33.40.94;Non;;;;CAVE COOPERATIVE DE COURSAN;;vignerons.coursan@wanadoo.fr;
COUSSAT;;34290;SERVIAN;06.70.73.38.01;;Non;;;;OEUVRE AGATHOISE BALDY-COUSSAT;;oab.coussat@sfr.fr;
COUTURIER;;84290;CAIRANNE;04.90.30.70.05;;Non;;;;EARL CORINNE COUTURIER;;;
COVIVINS;;34440;NISSAN LES ENSERUNES;06.81.79.54.30;;Non;;;;COVIVINS;;;
COXE ET FILS;;41700;COUDDES;02.54.71.33.33;02.54.71.39.06;Non;;;;MAISON COXE ET FILS;;;
CREATEURS;;30127;BELLEGARDE;04.66.01.76.60;04.66.01.14.90;Non;;;;SCA LES VIGNERONS CREATEURS;;;
CRESPIAN (COOP);;30260;CRESPIAN;04.66.77.81.87;04.66.77.81.43;Non;;;;S.C.A Crespian;;;
CROIX COUVERTE;;30300;BEAUCAIRE;;;Non;;;;SAS LA CROIX COUVERTE;;;
CROIX GRATIOT;;34530;MONTAGNAC;04.67.25.27.88;04.67.24.04.08;Non;;;;EARL CROIX GRATIOT;;croixgratiot@gmail.com;
CROIX RONDE;;34260;LA TOUR SUR ORB;04.67.95.35.05;04.67.95.37.16;Non;;;;DOMAINE DE LA CROIX RONDE;;croixronde@wanadoo.fr;
CROS ALEXANDRE;;34490;MURVIEL LES BEZIERS;04.67.37.78.04;;Non;;;;MR CROS ALEXANDRE;;;
CROSET AVRIL;;84230;CHATEAUNEUF DU PAPE;;;Non;;;;SARL AVRIL CROSET;;;
CRUS DU HAUT MINERVOIS;;34210;AZILLANET;04.68.91.22.61;04.68.91.19.46;Non;;;;SCV LES CRUS DU HAUT MINERVOIS;;stephendesmazieres@wanadoo.fr;
CRUVIERS(COOP);;30360;CRUVIERS LASCOURS;04.66.83.21.64;04.66.83.30.26;Non;;;;CAVE COOPERATIVE DE CRUVIERS;;;
CUXAC D'AUDE;;11590;CUXAC D'AUDE;04.68.33.40.42;04.68.33.85.52;Non;;;;EURL CELLIERS DU SOLEIL;;;
CÔTELIER;;30800;ST GILLES;06.11.35.91.64;04.66.87.35.90;Non;;;;SCEA LA COMMANDERIE DE COTELIER;;guilhem.tosquellas@wanadoo.fr;
D'AIGUEVILLE SAS;;84231;CHATEAUNEUF DU PAPE;;;Non;;;;CHATEAU D'AIGUEVILLE SAS;;;
D'AILLAUD;;30300;BEAUCAIRE;04.66.59.22.02;04.66.59.22.02;Non;;;;EARL MAS D'AILLAUD;;;
D'OLLONE;;84330;LE BARROUX;04.90.62.56.50;04.90.62.48.50;Non;;;;SCEA D'OLLONE;;SIRET 320 280 605 000 17;
D'ONAIRAC;;34210;OLONZAC;04.68.91.20.20;;Non;;;;SCAV LES CELLIERS D'ONAIRAC;;;
DAMIANO;;83000;DRAGUIGNAN;04.94.68.16.17;04.94.47.22.88;Non;;;;SARL DAMIANO;;;
DANIEL BLANC;;84100;ORANGE;04.90.11.06.39;;Non;;;;MR DANIEL BLANC;;domaine.ventaillac@laposte.net;
DAULY PATRICK;;34480;FOUZILHON;04.67.24.78.81;;Non;;;;DAULY PATRICK;;;
DE BELLE MARE;;34140;MEZE;04.67.43.17.68;;Non;;;;SA DOMAINE DE BELLE MARE;;;
DE CHAMPEYRACHE;;07000;ST JULIEN ST ALBAN;;;Non;;;;GAEC DE CHAMPEYRACHE;;;
DE CHRISTIN (DOMAINE);;30250;JUNAS;06.75.48.01.72;04.66.80.95.90;Non;;;;DOMAINE DE CHRISTIN;;;
DE COMBARIEU THIERRY;;30640;BEAUVOISIN;04.66.73.34.72;04.66.73.34.40;Non;;;;MONSIEUR DE COMBARIEU THIERRY;;;
DE CONENCK;;11590;OUVEILHAN;04.68.46.82.07;;Non;;;;DE CONENCK MIGUELINE;;;
DE GADIX;;07700;GRAS;04.75.04.39.67;04.75.04.18.72;Non;;;;GAEC DE GADIX;;;
DE L'AUSSOU;;11200;BIZANET;04.68.45.10.75;04.68.45.10.36;Non;;;;CELLIERS DE L'AUSSOU;;;
DE MILLE;;84400;APT;;;Non;;;;CHATEAU DE MILLE;;;
DE ST MARTIN;;34310;CAPESTANG;04.67.93.38.81;;Non;;;;MR DE SAINT MARTIN;;;
DE TAXI;;84190;GIGONDAS;04.90.65.86.40;;Non;;;;MONSIEUR REGIS DE TAXI;;;
DECOUVERTE 1;;84704;SORGUES;;;Non;;;;DECOUVERTE ET SELECTIONS;;;
DECOUVERTE ET SELECTIONS;;84420;PIOLENC;04.90.51.75.87;;Non;;;;DECOUVERTE ET SELECTIONS;;;
DEFLAUX ANNE-MURIEL;;30128;GARONS;;;Non;;;;DEFLAUX ANNE-MURIEL;;;
DEL RIEU;;34280;LA GRANDE MOTTE;06 81 06 36 84;;Non;;;;MR Michel DEL RIEU;;Domaine Mas neuf à Gallician;
DELAS FRERES;;07300;ST JEAN DE MUZOLS;;;Non;;;;SOCIETE DELAS FRERES;;;
DELEUZE-ROCHETIN;;30700;ARPAILLARGUES;06.73.74.15.96;;Non;;;;DOMAINE DELEUZE-ROCHETIN;;;
DELON ( DMNE DU CHENE);;30800;ST GILLES;04.66.01.31.29;;Non;;;;MADAME DELON EMMANUELLE;;delon.emmanuelle@orange.fr;
DES AIRES;;34400;LUNEL;07.67.71.12.08;;Non;;;;SCEA DOMAINE DES AIRES;;;
DES PALLIERES;;84190;GIGONDAS;04.90.65.83.03;04.90.65.83.03;Non;;;;GAEC DOMAINE DE NOTRE DAME DES PALLIERES;;contact@pallieres.com;
DES ROQUES;;84190;VACQUEYRAS;04.90.65.85.16;;Non;;;;SCEA CHATEAU DES ROQUES;;;
DES SONGES;;34800;CANET;04.67.88.21.33;04.67.88.21.33;Non;;;;SCEA LA GARRIGUE;;contact@bastidedessonges.com;
DESCHAMPS;;13250;CORNILLON CONFOUX;04.90.50.43.67;;Non;;;;MONSIEUR DESCHAMPS  EDMOND;;edmond.deschamps@orange.fr;
DESCOMBES;;69460;ST ETIENNE DES OULLIERES;;;Non;;;;VINS DESCOMBES;;;
DEUX RHONES;;30300;BEAUCAIRE;04.66.59.82.70;04.66.59.82.79;Non;;;;UNION DES CAVES DES DEUX RHONES;;;
DEVEZE CHATEAU;;34400;VERARGUES;;;Non;;;;SARL CHATEAU DE LA DEVEZE;;;
DEVEZE1;;34190;MONTOULIEU;04.67.73.70.21;04.67.73.32.40;Non;;;;SCEA DOMAINE DE LA DEVEZE;;domainedeladeveze@hotmail.fr;
DEZZANI;;14023;COCCONATO;;;Non;;;;DEZZANI SRL;;;
DIDERON PIERRE;;30600;VAUVERT;06.08.46.87.68;;Non;;;;MR DIDERON  PIERRE;;;
DIDIER ALAIN;;30210;COLLIAS;06.84.37.00.71;;Non;;;;MR ALAIN DIDIER;;;
DIFFONTY REMY ET FILS;;84230;CHATEAUNEUF DU PAPE;04.90.83.71.19;04.90.83.51.26;Non;;;;SCEA DU DOMAINE DU HAUT;;;
DISTILLERIE DE LA TOUR;;17800;PONS;05.46.91.31.44;05.46.48.49.78;Non;;;;DISTILLERIE DE LA TOUR;;faxinfo@distillerie-de-la-tour.com;
DMNE AIRES VIEILLES;;30390;DOMAZAN;04.66.57.25.88;;Non;;;;MR LE DIRECTEUR DU DOMAINE;;;
DMNE BASTIDONNE;;84220;CABRIERES D'AVIGNON;04.90.76.70.00;04.90.76.74.34;Non;;;;SCEA DOMAINE DE LA BASTIDONNE;;;
DMNE BELURAC MR TEISSIER;;34660;COURNONTERRAL;04.67.85.09.49;;Non;;;;MONSIEUR TEISSIER;;;
DMNE BOISVIEL ST PIERRE;;13104;MAS THIBERT;04.90.98.70.30;04.90.98.74.93;Non;;;;MONSIEUR PATRICK HENRY;;;
DMNE BORIE VIEILLE;;81310;LISLE SUR TARN;05.63.40.47.46;;Non;;;;DOMAINE BORIE VIEILLE;;;
DMNE CASSAIRE MR SANIAL;;13200;ARLES;04.90.98.71.07;;Non;;;;MONSIEUR GEORGES SANIAL;;41209201700018 SIRET;
DMNE CONTENSARGUES /BRETON;;30470;LE CAILAR;;;Non;;;;MONSIEUR CLAUDE BRETON;;;
DMNE DE CAUSSE;;34970;LATTES;04.67.65.82.28;04.67.65.52.30;Non;;;;SOCIETE CIVILE DE BONNETERRE;;;
DMNE DE LA FORET;;13200;ARLES;04.90.98.70.05;04.90.98.74.97;Non;;;;SCA DU DOMAINE DE LA FORET;;;
DMNE DE MELLET;;30600;GALLICIAN;06.73.12.34.50;04.66.51.95.05;Non;;;;EARL DOMAINE DE MELLET;;;
DMNE DE PIGNAN;;84231;CHATEAUNEUF DU PAPE;;;Non;;;;DOMAINE DE PIGNAN SCEA;;;
DMNE DE PIGNAN SCEA;;84231;CHATEAUNEUF DU PAPE;04.90.83.55.38;;Non;;;;DOMAINE DE PIGNAN SCEA;;;
DMNE DES GOUBINS;;30900;NIMES;04.66.84.39.93;;Non;;;;G.F.A DOMAINE DES GOUBINS;;;
DMNE GUINAN;;34400;ST CHRISTOL;04.67.86.85.55;;Non;;;;DOMAINE GUINAND;;contact@domaineguinand.com;
DMNE PAPAREL MR GRAS;;30610;SAUVE;04.66.77.15.07;;Non;;;;Monsieur Jean-Claude GRAS;;;
DMNE ST MARTIN;;13560;SENAS;04.90.59.22.54;04.90.59.25.77;Non;;;;EARL DOMAINE SAINT MARTIN;;;
DOLLADILLE;;30580;BELVEZET;06.03.00.15..73;;Non;;;;EARL DOLLADILLE ET FILS;;;
DOMAINE D'O;;34370;CAZOULS LES BEZIERS;04.67.90.55.62;04.67.90.66.07;Non;;;;SCEA DOMAINE D'O;;;
DOMERGUE DENIS;;30250;COMBAS;06.74.36.17.70;;Non;;;;DOMERGUE DENIS;;;
DONADILLE;;30230;RODILHAN;06.19.89.03.01;;Non;;;;DOMAINE DE DONADILLE;;;
DORTHE PHILIPPE;;07700;ST MARCEL D'ARDECHE;04.75.98.74.29;04.75.98.02.61;Non;07700;;;EARL DORTHE PHILIPPE;;ph.dorthe@libertysurf.fr;
DORTHE1;;07700;ST MARCEL D'ARDECHE;;;Non;;;;DORTHE BRUNO;;;
DORTHE2;;07700;ST MARCEL D'ARDECHE;;;Non;;;;DORTHE MARIE-THERESE;;;
DOSE FRERES;;30330;ST PAUL DE FONT;;;Non;;;;MESSIEURS DOSE FRERES;;;
DOUDON VINS;;66002;PERPIGNAN CEDEX;04.68.54.10.00;04.68.54.04.70;Non;;;;DOUDON VINS;;;
DOULMET THIERRY;;07400;ALBA LA ROMAINE;04.75.52.43.90;;Non;;;;MR DOULMET THIERRY;;;
DOURS;;30200;ST ETIENNE DES SORTS;06.12.21.43.74;;Non;;;;SCEA L'ENCLOS;;;
DOUX MICHEL;;26790;ROCHEGUDE;06.36.97.71.22;;Non;;;;MONSIEUR MICHEL DOUX;;;
DREAM FRUITS SA;;45790;QUERO ( TOLEDO );34.926.57.70.79;34.926.57.74.00;Non;;;;DREAM FRUITS SA;;;
DRIOLE;;30350;SAVIGNARGUES;04 66 83 40 05;;Non;;;;EARL DRIOLE JEAN LUC;;;
DU FEZ;;07150;VALLON PONT D'ARC;04.75.88.02.27;;Non;;;;MR MASMEJEAN CLAUDE;;;
DU FIEF;;85440;POITROUX;02.40.06.31.31;;Non;;;;EARL CLOS DU FIEF;;;
DU GERS (CAVE ET VIGNOBLE);;32800;EAUZE;0562098799;;Non;;;;CAVE ET VIGNOBLE DU GERS;;;
DU GRAND BOSC;;34290;LIEURAN LES BEZIERS;06.83.24.61.30;;Non;;;;GAEC DU GRAND BOSC;;;
DU LOGISSON;;07000;ST JULIEN ST ALBAN;04.75.65.77.13;04.75.43.71.74;Non;;;;GAEC DU LOGISSON;;;
DU PETIT PUIT;;16300;CRITEUIL;05.45.36.83.36;05.45.35.90.49;Non;;;;DISTILLERIE DU PETIT PUIT;;;
DU SUD;;11009;CARCASSONNE;04.68.71.34.37;04.68.71.02.56;Non;;;;DOMAINE ET VIGNOBLES DU SUD;;;
DU VENT;;34630;SAINT THIBERY;04.67.90.69.98;04.67.90.38.25;Non;;;;LES CELLIERS DU VENT;;davidalcaraz@wanadoo.fr;
DUBOEUF;;71570;ROMANECHE THORINS;03.85.35.34.20;03.85.35.34.25;Non;;;;LES VINS GEORGES DUBOEUF;;;
DUCHAMP OLIVIER;;34440;NISSAN LEZ ENSERUNE;04.67.37.00.01;;Non;;;;DUCHAMP OLIVIER;;lagarrigue8@wanadoo.fr;
DUCLAUX NATHALIE;;30126;TAVEL;04.66.50.10.61;04.66.79.36.89;Non;;;;MADAME DUCLAUX NATHALIE;;nathalie.duclaux@wanadoo.fr;
DUFES PIERRETTE;;30630;CORNILLON;;;Non;;;;MME DUFES PIERRETTE;;;
DUMARCHER;;07700;SAINT REMEZE;06.63.03.75.67;04.75.98.98.44;Non;;;;DUMARCHER CLAUDE;;;
DUMONT ALAIN;;30250;VILLEVIEILLE;04.66.77.71.80;;Non;;;;DUMONT ALAIN;;;
DUPRET;;30600;VAUVERT;06.15.85.45.76;;Non;;;;EARL DUPRET;;;
DURFORT;;30170;DURFORT;04.66.77.50.55;04.66.77.02.83;Non;;;;SCA LES COTEAUX CEVENOLS;;coteaux.cevenols@wanadoo.fr;
EARL PRADAL PERE /FILS;;07220;MONTAN;;;Non;;;;EARL PRADAL PERE ET FILS;;;
ELDIN EARL;;07150;LAGORCE;06.03.43.53.66;04.75.37.12.01;Non;;;;EARL ELDIN;;laurent.eldin@wanadoo.fr;
ELIANE JAUME;;84100;ORANGE;;;Non;;;;MR JAUME BERNARD ELIANE;;;
EPIARD MARIE JOSEPHE;;85660;SAINT PHILBERT DE BOUAINE;0251419342;;Non;;;;EPIARD MARIE JOSEPHE;;;
ERIC LAURENT;;13500;MARTIGUES;04.42.42.05.88;04.42.42.05.88;Non;;;;MR ERIC LAURENT;;;
ERMITAGE DU PIC ST LOUP;;34270;ST MATHIEU DE TREVIERS;04.67.54.24.68;04.67.55.23.49;Non;;;;GAEC ERMITAGE DU PIC SAINT LOUP;;ermitagepic@free.fr;
ESPERAN;;30130;SAINT ALEXANDRE;04.66.39.18.64;;Non;;;;EARL DOMAINE DE L'ESPERAN;;;
ESTATES;;34150;MONTPEYROUX;;;Non;;;;SASU MONTPEYROUX ESTATES;;;
ESTELA;;34490;THEZAN LES BEZIERS;04.67.35.32.80;04.67.93.14.88;Non;;;;SCEA SANTA ESTELA;;santaestela@orange.fr;
ESTEOULLE CHRISTINE;;84231;CHATEAUNEUF-DU-PAPE;08.73.04.30.46;04.90.83.51.27;Non;;;;ESTEOULLE CHRISTINE;;esteoulle@free.fr;
ESTEVE DMNE DU BOIS NOIR;;26790;LA BAUME DE TRANSIT;04.75.98.10.44.;;Non;;;;MR ESTEVE;;mfesteve@orange.fr;
EURIVINS;;34500;BEZIERS;04.67.35.20.66;04.67.62.33.97;Non;;;;ETS EURIVINS;;LOUISDISTRIBUTION;
EYCHENNE VIERA;;34500;BEZIERS;04.67.28.60.29;04.67.28.60.29;Non;;;;DOMAINE DE LA BARTHE;;;
EYGUES;;26110;SAINT MAURICE SUR EYGUES;04.75.27.63.44;04.75.27.67.32;Non;;;;CAVE COOPERATIVE VINICOLE;;;
EYMARD FRANCOIS;;30760;ST JULIEN DE PEYROLAS;04.66.82.10.24;04.66.82.10.24;Non;;;;SCEA EYMARD FRANCOIS ET FILS;;contact@gites-au-monteil.fr;
F.G.T.I;;34500;BEZIERS;04.67.11.86.80;04.67.11.86.81;Non;;;;F.G.T.I FRIGOVIN;;;
F.G.V.S;;21703;NUIT ST GEORGES;03.80.62.61.62;;Non;;;;F.G.V.S;;;
FABRE-LUCE HENRI;;34360;PIERRERUE;04.67.38.01.52;04.67.38.19.12;Non;;;;FABRE-LUCE HENRI;;;
FABREGUES DOMAINE;;34800;ASPIRAN;04.67.44.54.99;04.67.44.79.72;Non;;;;DOMAINE DE FABREGUES;;;
FABROL;;30130;SAINT PAULET DE CAISSON;06.26.43.85.60;;Non;;;;FABROL PHILIPPE;;;
FAGE;;26770;SAINT PANTALEON LES VIGNES;04.75.27.91.82;;Non;;;;FAGE JEAN-LOUIS;;;
FAISANDERIE DU PLAN;;13790;ROUSSET;04.42.29.14.84;04.42.61.19.47;Non;;;;EARL FAISANDERIE DU PLAN;;contact@terre-de-mistral.com;
FALLET;;30170;POMPIGNAN;06.17.47.01.02;;Non;;;;SARL DOMAINE DE FALLET;;;
FALLOISE;;34650;LUNAS-HAMEAU;04.67.23.78.89;04.67.23.78.89;Non;;;;DOMAINE DE LA FALLOISE;;;
FAUGERES;;34600;FAUGERES;04.67.95.08.80;04.67.95.14.67;Non;;;;LES CRUS FAUGERES;;;
FAYEL;;30127;BELLEGARDE;04.66.01.16.78;04.66.01.01.26;Non;;;;MONSIEUR FAYEL JEAN FRANCOIS;;;
FENOUILLEDES;;66130;TREVILLACH;04.68.84.09.90;04.68.84.70.59;Non;;;;LES VIGNERONS COTEAUX ET FENOUILLEDES;;christophe.trevillach@orange.fr;
FENOUILLET;;34270;VACQUIERES;04.67.59.03.15;04.67.59.03.15;Non;;;;SARL ABBAYE DE FENOUILLET;;abbayedefenouillet@wanadoo.fr;
FERAL YANNICK;;34490;CORNEILHAN;04.67.37.33.24;;Non;;;;FERAL YANNICK;;;
FERME EQUESTRE COLLIAS;;30100;COLLIAS;04.66.22.83.22;;Non;;;;FERME EQUESTRE;;;
FERROTIN J.CLAUDE;;26780;CHATEAUNEUF DU RHONE;04.75.90.80.64;04.75.90.80.64;Non;;;;MR FERROTIN JEAN CLAUDE;;domaineferrotin@orange.Fr;
FESQUET;;30350;LEZAN;06.64.19.70.64;;Non;;;;FESQUET PASCAL;;;
FILLES DE SEPTEMBRE;;34290;ABEILHAN;04.67.39.01.65;04.67.39.01.65;Non;;;;DOMAINE LES FILLES DE SEPTEMBRE;;;
FINEDOC;;30600;VAUVERT;04.66.88.89.36;04.66.88.77.73;Non;;;;UDM DISTILLERIE DES COSTIERES;;MR BORRAS JEAN-PIERRE;
FIRMIN;;30700;UZES;;;Non;;;;DOMAINE SAINT FIRMIN GAEC;;;
FLEURY D'AUDE;;11560;FLEURY D'AUDE;04.68.33.61.21;04.68.33.94.14;Non;;;;COOP DE FLEURY D'AUDE;;;
FOLCHER;;30210;CASTILLON DU GARD;04.66.37.39.14;;Non;;;;EARL FOLCHER;;;
FOLTODON  DOMAINE;;30290;LAUDUN;06.07.55.78.15;;Non;;;;DOMAINE DE FOLTODON;;;
FONDACCI;;84580;OPPEDE;04.90.76.95.91;04.90.71.40.38;Non;;;;SARL DOMAINE ET CAVE FONDACCI;;;
FONT RONDE;;30250;VILLEVIEILLE;04.66.80.08.17;;Non;;;;GAEC MOULIN;;;
FONT SALADE;;34490;CAUSSE ET VEYRAN;04.67.89.57.90;04.67.89.72.04;Non;;;;DOMAINE FONT SALADE;;;
FONT-FREYE (DMNE);;83390;PIERREFEU DU VAR;;;Non;;;;DOMAINE FONT-FREYE;;;
FONTANES;;30250;FONTANES;04.66.80.12.25;04.66.80.17.70;Non;;;;CAVE COOPERATIVE DE FONTANES;;coteaux.fontanes@orange.fr;
FONTES;;34320;FONTES;04.67.25.14.25;04.67.25.30.66;Non;;;;COOP DE FONTES;;la.fontesole@live.fr;
FONTFOUGASSIERE;;30250;AUBAIS;04.66.35.25.77;;Non;;;;SCEA DOMAINE DE FONTFOUGASSIERE;;;
FONTNEUVE;;34290;BASSAN;04.67.28.55.71;04.67.28.55.71;Non;;;;SAS DOMAINE DE FONTNEUVE;;fontneuve34@free.fr;
FORCA REAL;;66170;MILLAS;04.68.57.35.02;04.68.57.28.09;Non;;;;CAVE COOP DE VINIFICATION;;;
FORGE DANIELE;;26740;MONTBOUCHET S/JABRON;;;Non;;;;MME FORGE DANIELE;;;
FOULERY DOMAINE;;34290;MONTBLANC;04.67.98.60.41;;Non;;;;MR ARNAUD PIERRE;;;
FOULON SOPAGLY;;71020;MACON;03.85.32.81.71;03.85.32.89.70;Non;;;;FOULON SOPAGLY SAS;;slaforet@foulon-sopagly.fr;
FRACH;;30630;VERFEUIL;04.66.79.09.11;;Non;;;;EARL CHRISTIAN FRACH;;;
FRAISSINET;;30126;TAVEL;04.66.50.06.88;04.66.50.06.88;Non;;;;SCEA M. FRAISSINET;;;
