Nom abrégé;Tel. int.;C. P.;Ville;Téléphone 1;Téléphone 2;Fax;N° compte;Famille;Raison sociale;Type;Région                        ;Email;Représentant
STE OGIER SORGUES;;84700;SORGUES;04.90.39.32.00;;04.90.39.15.45;STE OGIE;;SOCIETE OGIER ET FILS; ;;;
STE VINICOLE DU TOULOIS;;54200;BRULEY;03.83.43.11.04;;03.83.43.36.92;STE VINI;;STE VINICOLE DU TOULOIS; ;;;
SVE;;16130;GENSAC LA PALLUE;;;;SVE;;SVE; ;;;
TAVEL;;30126;TAVEL;04.66.50.03.57;;;TAVEL;;LES VIGNERONS DE TAVEL; ;;;
TEMPLIERS;;84600;RICHERENCHES;04.90.28.01.00;;04.90.28.02.47;TEMPLIER;;CELLIER DES TEMPLIERS; ;;;
TERRA GALLO;;81600;MONTANS;06.08.31.77.31;;;TERRA GA;;TERRA DEL GALLO SARL; ;;;
TERRES AVIGNON;;84470;CHATEAUNEUF DE GADAGNE;;;;TERRES A;;SCEA TERRES D'AVIGNON; ;;;
TERROIRS  DU SUD;;34560;POUSSAN;04 67 18 13 10;;04 67 51 41 68;TERROIRS;;TERROIRS DU SUD; ;;;
TETE NOIRE;;13340;ROGNAC;0442870007;;0442871312;TETE NOI;;LA TETE NOIRE; ;;;
TETE NOIRE 1;;13651;SALON DE PROVENCE;04.90.53.22.42;;04.90.53.60.43;TETE NOI;;TETE NOIRE; ;;;
THEVENIN SARL;;21200;BEAUNE;03 80 25 9130;;03 80 25 9129;THEVENIN;;PAUL THEVENIN SARL; ;;;
TIANJIN;;300191;P.R. CHINA;;;;TIANJIN;;TIANJIN GUANG TONG YONG LE INTERNATIONAL; ;;;
TONNERRE;T2;89700;TONNERRE;03.86.55.08.51;;03.86.55.11.40;;;TONNERRE CAVE; ;;tonnerre.cave@orange.fr;
TRANSVINS S/E ESV;;84700;SORGUES;;;;TRANSVIN;;TRANSVINS; ;;;
TRESCH;;68313;ILLZACH CEDEX;03 89 61 58 25;;03.89.61.94.05;TRESCH;;TRESCH CLERGET SAS; ;;contacts@tresch.fr/www.tresch.fr;
TRESCH 1;;21200;BEAUNE;03.80.26.37.37;;03.80.24.14.81;TRESCH 1;;SAS TRESCH CLERGET; ;;;
TRESCH 2;;30210;CASTILLON DU GARD;;;;TRESCH 2;;MARTENOT/S/E CIE RHODANIENNE; ;;;
TRILLES;;34370;MAUREILHAN;04.67.35.57.00;;04.67.90.55.81;TRILLES;;SA TRILLES; ;;;
TUCHAN;;11350;TUCHAN;04.68.45.41.08;;04.68.45.45.29;TUCHAN;;SICA CAVE DU MONT TAUCH; ;;;
TURRICCHIA;;48010;BAGNARA DI ROMAGNA;00390542640133;;;TURRICCH;;TURRICCHIA VINI SRL - BAGNA; ;;giovanna.gottarelli@turricchiavini.it;
TURRICCHIA 1;;40026;IMOLA BO;;;;TURRICCH;;TURRICCHIA VINI SRL; ;;;
U.I.S;;34500;BEZIERS;;;;U.I.S;;C.V.B S/E  U.I.S; ;;;
UCA DES GARRIGUES;;30900;NIMES;04.66.68.91.11;;04.66.62.38.07;UCA DES;;UCA Les Vignerons des Garrigues; ;;;
UCCOAR SA;;11880;CARCASSONNE CEDEX 9;04.68.11.51.51;;04.68.11.51.75;UCCOAR S;;*Groupe UCCOAR S.A; ;;;
UDM;;30600;VAUVERT;;;;UDM;;U.D.M; ;;;
UNITS;;E16 4SP;CANNING TOWN;44 7841 311869;;;UNITS;;UNITS 6 & 7; ;;;
UNIVERS DU VIN;T2;10410;ST PARRES AUX TESTRES;03.25.46.08.26;;;;;L'Univers du Vin; ;;;
UVICA;;07120;RUOMS;0475399800;;;UVICA;;UVICA; ;;;
UZEGE;;30700;ST QUENTIN LA POTERIE;04.66.03.23.00;;04.66.03.23.01;UZEGE;;LES CAVES DE L'UZEGE; ;;;
VALADIER PASCAL;;84850;TRAVAILLAN;04.90.37.71.73;06.20.91.70.91;04.90.37.78.35;VALADIER;;EARL LE VIEUX TRAVAILLAN; ;;;
VALLAT;;34150;MONTPEYROUX;04.67.96.64.06;06.25.17.38.51;04.67.96.67.63;VALLAT;;VIGNOBLES VALLAT; ;;;
VALLEY;;84230;CHATEAUNEUF DU PAPE;06.82.20.95.75;04.90.83.73.46;04.90.83.73.46;VALLEY;;FRANCE-RHONE VALLEY; ;;;
VALREAS;;84602;VALREAS CEDEX;04.90.35.00.66;;04.90.35.11.38;VALREAS;;CAVE COOP LA GAILLARDE; ;;;
VALREAS1;;84602;VALREAS CEDEX;;;;VALREAS1;;CAVEAU ST JEAN; ;;;
VEDOVATO MARIO;;35010;TREBASELEGHE (PD);00390495796432;;00390495796716;VEDOVATO;;VINICOLA VEDOVATO MARIO SRL; ;;;
VENDEMIAN;;34230;VENDEMIAN;;;;;;Cave Coopérative Vinicole; ;;;
VERS PONT DU GARD;;30210;VERS PONT DU GARD;06.09.33.49.29;;;VERS PON;;ETS JUSTAMON; ;;;
VEYRAT;T1;74240;GAILLARD;04.50.39.72.72;;04.50.39.75.78;;;Sarl Veyrat; ;;;
VIAL;;;;;;;VIAL;;VIAL; ;;;
VIGNOBLES DE LA COTERIE;;84190;BEAUMES DE VENISE;0490124102;;0490650980;VIGNOBLE;;VIGNOBLES DE LA COTERIE; ;;;
VIGNOBLES DU SOLEIL;;34660;COURNONSEC;04.67.22.22.02;;04.67.22.22.03;VIGNOBLE;;LES VIGNOBLES DU SOLEIL; ;;;
VIGNOBLES DU SOLEIL 1;;11590;CUXAC D'AUDE;;;;VIGNOBLE;;VIGNOBLES DU SOLEIL; ;;;
VILLEVIEILLE;;30250;VILLEVIEILLE;04.66.80.02.90;;;;;Les vignerons de Villevieille; ;;;
VINACTION;;34170;CASTELNAU LE LEZ;04.67.99.39.90;06.07.74.87.70;04.67.99.39.91;VINACTIO;;SARL VINACTION; ;;philippebrouillet@wanadoo.fr;
VINDIVIN;;11100;BAGES;04.68.42.84.73;;04.68.93.52.16;VINDIVIN;;SOCIETE VINDIVIN; ;;;
VINDIVIN 1;;34440;NISSAN LEZ ENSERUNES;04.68.42.84.73;;;VINDIVIN;;VINDIVIN; ;;;
VINI MELONI;T2;09047;SELARGIUS (CA);;;;;;Vini Meloni; ;;;
VINI POLE;;;;;;;VINI POL;;VINI POLE; ;;;
VINI SELECTION;;84850;CAMARET SUR AIGUES;04.90.37.22.41;;04.90.37.74.55;VINI SEL;;VINI SELECTION; ;;;
VINICOLE DE TOURAINE;T1;41700;COUR CHEVERNY;02.54.79.97.08;0630910898;02.54.79.25.48;;;VINICOLE DE TOURAINE; ;;l.teissier@wanadoo.fr;
VINO-TEC;;34480;LAURENS;04.67.90.27.46;06.16.77.61.17;04.67.90.29.01;VINO-TEC;;VINO-TEC; ;;f.pujol@vinotec.fr;
VINOBAG;T1;34700;ST JEAN DE LA BLAQUIERE;04.67.44.70.53;;04.67.44.75.06;;;VINOBAG S.A; ;;;
VINUNIMPORT;;7100;LA LOUVIERE;0032475367229;;;VINUNIMP;;SOCIETE VINUNIMPORT; ;;;
VISAN;;84820;VISAN;04.90.28.50.80;;;VISAN;;CAVE LES COTEAUX DE VISAN; ;;;
VIVARAISES;;07200;ST ETIENNE DE FONTBELLON;0475351758;;;VIVARAIS;;LES CAVES VIVARAISES; ;;;
VMV;;;;;;;VMV;;VMV ASIA; ;;;
WANG PENG;;116001;CHINE;0086 13998636796;;;WANG PEN;;WANG PENG; ;;;
WANG WEIPING;;610031;CHENGDU CHINE;0086 13980993797;;;WANG WEI;;WANG WEIPING; ;;;
WANG YUQI;;610031;CHENGDU CHINE;;;;WANG YUQ;;WANG YUQI; ;;;
WEINKELLEREI;;D-55278;HAHNHEIM;;;;WEINKELL;;WEINKELLEREI DEUTSCH GMBH; ;;;
WELETER WEINKELLEREI;;D55270;ENGELSTADT;;;;WELETER;;O.WELETER WEINKELLEREI WEIKOMMISSION; ;;;
YANJING CELLAR LIMITED;;N.T;HONG KONG;852 2367 3638;;;YANJING;;YANJING CELLAR LIMITED; ;;;
YVON MAU;;33190;GIRONDE SUR DROPT;05.56.61.54.54;;;YVON MAU;;ETS MAU YVON; ;;;
ZENZEN;;D56759;KAISERSESCH;00.49.02.65.39.90.70;;00.49.02.65.39.90.75;ZENZEN;;EINIG-ZENZEN GMBH ET CO. KG; ;;tgeyer@eizen.de;
